rank,attr,label,type,nominal,S_mean,dW_minus20_pct,dW_minus10_pct,dW_minus5_pct,dW_plus5_pct,dW_plus10_pct,dW_plus20_pct,failed,tipping_frac,tipping_constraint,tipping_margin_pct
1,BATTERY_EFF,η_bat,param,0.85,0.458134,12.276716,5.128473,2.371952,-2.065223,-3.881326,-6.931042,True,-0.016406,cruise_CL,-0.014
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.458134,12.276716,5.128473,2.371952,-2.065223,-3.881326,-6.931042,True,-0.016406,cruise_CL,-0.014
3,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.351256,-6.470052,-3.361792,-1.714753,1.787376,3.652824,7.642970,True,0.021094,cruise_CL,-0.018
4,ETA_HOVER,η_hover,param,0.65,0.318563,8.786294,3.594731,1.649194,-1.417230,-2.649158,-4.687755,True,-0.023438,cruise_CL,-0.014
5,K_ESC,k_ESC,model,0.0003594,0.115638,-2.225012,-1.133470,-0.572161,0.583408,1.178481,2.405407,True,0.062500,cruise_CL,-0.004
6,K_WING_B,k_wing_B,model,2.2854,0.109734,-2.185821,-1.095114,-0.548111,0.549222,1.099562,2.203610,True,0.066406,cruise_CL,-0.003
7,T_HOVER,t_hover,input,60.0,0.106466,-2.054781,-1.045262,-0.527245,0.536780,1.083422,2.207671,True,0.067969,cruise_CL,-0.005
8,K_MOTOR,k_motor,model,0.0002506,0.080597,-1.568982,-0.794899,-0.400116,0.405584,0.816775,1.656570,True,0.089844,cruise_CL,-0.006
9,E_OSWALD,e_Oswald,param,0.8,0.072179,1.834062,0.796674,0.373841,-0.332936,-0.631360,-1.144192,True,-0.092188,cruise_CL,-0.000
10,AR_FIXED,AR,input,8.0,0.072179,1.834062,0.796674,0.373841,-0.332936,-0.631360,-1.144192,True,-0.092188,cruise_CL,-0.000
11,CD0_ROTOR,CD0_rotor,param,0.012,0.061937,-1.236233,-0.618744,-0.309529,0.309844,0.620003,1.241269,True,0.117969,cruise_CL,-0.005
12,SIGMA,σ (solidity),param,0.13,0.061937,-1.236233,-0.618744,-0.309529,0.309844,0.620003,1.241269,True,0.117969,cruise_CL,-0.005
13,CD0_WING,CD0_wing,param,0.01,0.039915,-0.796802,-0.398775,-0.199481,0.199669,0.399525,0.799802,True,0.182031,cruise_CL,-0.001
14,RHO_AIR,ρ_air,input,1.225,0.039825,0.047018,-0.236309,-0.169825,0.254734,0.580167,1.400808,True,-0.007812,cruise_CL,-0.027
15,K_ROTOR_A,k_rotor_A,model,0.7484,0.034784,-0.694796,-0.347621,-0.173866,0.173978,0.348068,0.696584,False,,,
16,K_WING_A,k_wing_A,model,-0.0802,0.019254,-0.384806,-0.192471,-0.096253,0.096287,0.192608,0.385353,False,,,
17,K_ROTOR_B,k_rotor_B,model,0.0403,0.008514,0.170333,0.085153,0.042573,-0.042567,-0.085127,-0.170226,False,,,
18,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
19,DL_MAX,DL_MAX (disk loading),param,250.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
20,BL_MAX,BL_MAX (blade loading),param,0.14,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,False,,,
21,CL_MAX,CL_MAX (cruise CL),param,0.6,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,True,-0.007812,cruise_CL,-0.060
