rank,attr,label,type,nominal,S_mean,dW_minus10_pct,dW_plus10_pct,dW_plus20_pct,failed
1,BATTERY_EFF,η_bat,param,0.85,0.576792,6.492555,-4.835540,-8.581897,False
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.576792,6.492555,-4.835540,-8.581897,False
3,ETA_HOVER,η_hover,param,0.65,0.510431,5.679186,-4.387349,-7.888955,False
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.437952,-4.181978,4.564389,9.566207,False
5,T_HOVER,t_hover,input,60.0,0.305771,-3.003569,3.109407,6.334615,False
6,RHO_AIR,ρ_air,input,1.225,0.250477,2.709195,-2.265975,-4.196842,False
7,K_WING_B,k_wing_B,model,2.2854,0.180116,-1.827017,1.772823,3.500105,False
8,K_ESC,k_ESC,model,0.0003594,0.110601,-1.099024,1.112889,2.240109,False
9,K_MOTOR,k_motor,model,0.0002506,0.077115,-0.767756,0.774497,1.555892,False
10,K_ROTOR_A,k_rotor_A,model,0.7484,0.073644,-0.740541,0.732144,1.456641,False
11,CD0_ROTOR,CD0_rotor,param,0.012,0.049697,-0.499122,0.494770,0.985396,False
12,SIGMA,σ (solidity),param,0.13,0.049697,-0.499122,0.494770,0.985396,False
13,E_OSWALD,e_Oswald,param,0.8,0.045028,0.493110,-0.399680,-0.730185,False
14,AR_FIXED,AR,input,8.0,0.045028,0.493110,-0.399680,-0.730185,False
15,CD0_WING,CD0_wing,param,0.01,0.024659,-0.245945,0.247226,0.495741,False
16,K_WING_A,k_wing_A,model,-0.0802,0.023613,-0.236124,0.236126,0.472254,False
17,K_ROTOR_B,k_rotor_B,model,0.0403,0.013717,0.137178,-0.137158,-0.274295,False
18,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,False
