rank,attr,label,type,nominal,mu_star,sigma,sigma_over_mu_star,n_ee,decision
1,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.426046,0.168231,0.3949,15,KEEP
2,T_HOVER,t_hover,input,60.0,0.422010,0.136925,0.3245,15,KEEP
3,BATTERY_EFF,η_bat,param,0.85,0.259360,0.094456,0.3642,15,KEEP
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.239818,0.055926,0.2332,15,KEEP
5,ETA_HOVER,η_hover,param,0.65,0.152104,0.085765,0.5639,15,KEEP
6,DL_MAX,DL_MAX (disk load.),param,55.0,0.143522,0.049447,0.3445,15,KEEP
7,AR_FIXED,AR,input,8.0,0.123825,0.035542,0.2870,15,KEEP
8,K_WING_B,k_wing_B,model,2.2854,0.102308,0.039939,0.3904,15,KEEP
9,E_OSWALD,e_Oswald,param,0.8,0.081410,0.029761,0.3656,15,marginal
10,RHO_AIR,ρ_air,input,1.225,0.079858,0.039706,0.4972,15,marginal
11,CL_MAX,CL_MAX (cruise CL),param,1.0,0.075521,0.049574,0.6564,15,marginal
12,CD0_ROTOR,CD0_rotor,param,0.012,0.052216,0.018537,0.3550,15,marginal
13,K_ROTOR_A,k_rotor_A,model,0.7484,0.048655,0.013327,0.2739,15,marginal
14,K_ESC,k_ESC,model,0.0003594,0.039843,0.013923,0.3495,15,marginal
15,SIGMA,σ (solidity),param,0.13,0.033161,0.010264,0.3095,15,marginal
16,K_MOTOR,k_motor,model,0.0002506,0.028781,0.010433,0.3625,15,marginal
17,CD0_WING,CD0_wing,param,0.01,0.022183,0.010513,0.4739,15,marginal
18,K_WING_A,k_wing_A,model,-0.0802,0.008201,0.001198,0.1461,15,FREEZE
19,K_ROTOR_B,k_rotor_B,model,0.0403,0.006217,0.001214,0.1953,15,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.0000,15,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.0000,15,FREEZE
