rank,attr,label,type,nominal,S1,S1_conf,ST,ST_conf,interaction,decision
1,T_HOVER,t_hover,input,60.0,0.420546,0.117514,0.459761,0.103763,0.039215,KEEP
2,BATTERY_DENSITY,ρ_bat (Wh/kg),input,158.0,0.186922,0.094309,0.271328,0.063711,0.084406,KEEP
3,BATTERY_EFF,η_bat,param,0.85,0.093389,0.050067,0.122723,0.029865,0.029334,KEEP
4,BETA_QBIT,β_QBiT (frame frac.),param,0.18,0.111397,0.062799,0.110622,0.029863,-0.000775,KEEP
5,ETA_HOVER,η_hover,param,0.65,0.069560,0.036388,0.094016,0.042026,0.024456,KEEP
6,RHO_AIR,ρ_air,input,1.225,0.023736,0.024095,0.020422,0.006377,-0.003315,marginal
7,K_WING_B,k_wing_B,model,2.2854,0.019178,0.025470,0.012138,0.002936,-0.007040,marginal
8,CL_MAX,CL_MAX (cruise CL),param,1.0,0.002661,0.020326,0.009400,0.001939,0.006739,FREEZE
9,K_ROTOR_A,k_rotor_A,model,0.7484,0.007646,0.012329,0.004063,0.001070,-0.003584,FREEZE
10,K_ESC,k_ESC,model,0.0003594,0.008021,0.008565,0.003641,0.001177,-0.004380,FREEZE
11,AR_FIXED,AR,input,8.0,0.007037,0.011017,0.003355,0.000945,-0.003682,FREEZE
12,DL_MAX,DL_MAX (disk load.),param,55.0,0.004122,0.011088,0.003262,0.001031,-0.000860,FREEZE
13,E_OSWALD,e_Oswald,param,0.8,0.006795,0.012399,0.002735,0.000729,-0.004060,FREEZE
14,CD0_ROTOR,CD0_rotor,param,0.012,0.001923,0.006839,0.002611,0.001046,0.000688,FREEZE
15,SIGMA,σ (solidity),param,0.13,-0.000288,0.007402,0.001869,0.000675,0.002157,FREEZE
16,K_MOTOR,k_motor,model,0.0002506,0.002265,0.008402,0.001387,0.000368,-0.000878,FREEZE
17,K_WING_A,k_wing_A,model,-0.0802,-0.000102,0.001872,0.000191,0.000045,0.000294,FREEZE
18,CD0_WING,CD0_wing,param,0.01,0.000240,0.002015,0.000149,0.000041,-0.000091,FREEZE
19,K_ROTOR_B,k_rotor_B,model,0.0403,-0.000629,0.002420,0.000104,0.000017,0.000732,FREEZE
20,KAPPA_MAX,κ_max,param,1.15,0.000000,0.000000,0.000000,0.000000,-0.000000,FREEZE
21,BL_MAX,BL_MAX (blade load.),param,80.0,0.000000,0.000000,0.000000,0.000000,0.000000,FREEZE
