t_hover,E_req_J,exceeds_avail
8.669450843257448014e+01,7.378980082135857083e+05,1.000000000000000000e+00
5.875839641243680944e+01,6.215347319991630502e+05,1.000000000000000000e+00
4.605290564436844392e+01,5.686121015837782761e+05,0.000000000000000000e+00
4.919251858188567184e+01,5.816896424810707103e+05,0.000000000000000000e+00
4.312647801712422790e+01,5.564225490051994566e+05,0.000000000000000000e+00
4.154710808463998006e+01,5.498439435225918423e+05,0.000000000000000000e+00
8.097287851696222560e+01,7.140655006052555982e+05,1.000000000000000000e+00
6.860427103519350567e+01,6.625461020664987154e+05,1.000000000000000000e+00
3.995820579621841517e+01,5.432256325803945074e+05,0.000000000000000000e+00
5.540919337115417420e+01,6.075841780240779044e+05,1.000000000000000000e+00
7.209308990863581812e+01,6.770782028090723325e+05,1.000000000000000000e+00
4.815968561380098123e+01,5.773875467613096116e+05,0.000000000000000000e+00
8.566557433549601797e+01,7.336121525992299430e+05,1.000000000000000000e+00
5.122648527396691520e+01,5.901617959371770266e+05,0.000000000000000000e+00
4.402307123578232506e+01,5.601571604743789649e+05,0.000000000000000000e+00
4.226992165178705818e+01,5.528547044582881499e+05,0.000000000000000000e+00
3.785803747304383648e+01,5.344777271270450437e+05,0.000000000000000000e+00
1.651732603798523940e+02,1.064788331506298855e+06,1.000000000000000000e+00
7.184088658149565276e+01,6.760276913636337267e+05,1.000000000000000000e+00
8.686867394088829997e+01,7.386234659700671909e+05,1.000000000000000000e+00
6.638368737465168579e+01,6.532966263462339994e+05,1.000000000000000000e+00
4.363326770127887499e+01,5.585334980147609022e+05,0.000000000000000000e+00
5.641667443278842597e+01,6.117806745505537838e+05,1.000000000000000000e+00
4.420950610468489117e+01,5.609337242328028660e+05,0.000000000000000000e+00
1.164447957552947486e+02,8.618179330297759734e+05,1.000000000000000000e+00
6.065667008724495446e+01,6.294416785274788272e+05,1.000000000000000000e+00
1.414357288601864866e+02,9.659135512619920773e+05,1.000000000000000000e+00
5.281960065611505684e+01,5.967976558277988806e+05,0.000000000000000000e+00
6.895884251814413801e+01,6.640230112147224136e+05,1.000000000000000000e+00
6.567677784652596529e+01,6.503521110672070645e+05,1.000000000000000000e+00
4.472635820696475406e+01,5.630865865887471009e+05,0.000000000000000000e+00
5.437535089725231785e+01,6.032778773740045726e+05,0.000000000000000000e+00
5.828416046791533489e+01,6.195593802335566143e+05,1.000000000000000000e+00
8.332768940103953526e+01,7.238740777307730168e+05,1.000000000000000000e+00
4.135851424654831021e+01,5.490583869333864423e+05,0.000000000000000000e+00
5.384823876156198708e+01,6.010822785377349937e+05,0.000000000000000000e+00
3.452585683978611542e+01,5.205980771906253649e+05,0.000000000000000000e+00
1.142551903211153359e+02,8.526974920122730546e+05,1.000000000000000000e+00
5.356298968632080459e+01,5.998941204680554802e+05,0.000000000000000000e+00
4.579873050432432535e+01,5.675533768762572436e+05,0.000000000000000000e+00
7.387662751673884998e+01,6.845072351375831058e+05,1.000000000000000000e+00
5.359769788296856774e+01,6.000386917480716947e+05,0.000000000000000000e+00
3.697166856433675264e+01,5.307857033380005741e+05,0.000000000000000000e+00
4.679912885249225951e+01,5.717203715256345458e+05,0.000000000000000000e+00
5.867604989675527349e+01,6.211917311426859815e+05,1.000000000000000000e+00
1.361486153516745503e+02,9.438909502241492737e+05,1.000000000000000000e+00
4.266671191655246531e+01,5.545074689927662257e+05,0.000000000000000000e+00
5.117512983819997885e+01,5.899478833228178555e+05,0.000000000000000000e+00
9.416238435082816238e+01,7.690042161062365631e+05,1.000000000000000000e+00
3.339914877084711264e+01,5.159049601905052550e+05,0.000000000000000000e+00
4.752801385308058713e+01,5.747564220179461408e+05,0.000000000000000000e+00
4.606794532851783686e+01,5.686747469125051284e+05,0.000000000000000000e+00
6.647651049673113732e+01,6.536832657821666216e+05,1.000000000000000000e+00
3.775094581379745762e+01,5.340316544482067693e+05,0.000000000000000000e+00
3.263165632516938786e+01,5.127080967406270793e+05,0.000000000000000000e+00
3.523711731424454996e+01,5.235607156204163912e+05,0.000000000000000000e+00
5.963182535848461185e+01,6.251728565037243534e+05,1.000000000000000000e+00
